seed,valid,calibration_error,nominal_sndr,physical_sndr,calibrated_sndr,oracle_gap_db,cal_gain_db,nominal_enob,physical_enob,calibrated_enob,nominal_sndr_int12,physical_sndr_int12,calibrated_sndr_int12,nominal_enob_int12,physical_enob_int12,calibrated_enob_int12,nominal_sfdr_int12,nominal_sfdr,physical_sfdr,calibrated_sfdr,dnl_peak,dnl_rms,inl_peak,inl_rms,n_missing,n_non_monotonic,n_float_backsteps,worst_float_step_lsb,max_integer_jump,max_float_rollback_lsb,max_integer_rollback_lsb,float_nonmonotonic_input_fraction,integer_nonmonotonic_input_fraction,err_H1C,err_H2C,err_H4C,err_H8C-R,err_H8C-A,err_H16C,err_H32C,ratio_H1C,ratio_H2C,ratio_H4C,ratio_H8C-R,ratio_H8C-A,ratio_H16C,ratio_H32C
10064,True,,68.982,74.543,74.39,0.153,5.408,11.166,12.09,12.065,67.699,71.104,71.047,10.953,11.519,11.509,76.189,76.01,97.217,93.741,0.7055062332219597,0.3316204298549527,0.8307457623669905,0.33730146140724243,0,7,45,-0.33054836046540004,1,0.33054836046540004,1,0.0023920862164848776,0.0003758955043554526,0.0687,0.0925,0.0639,0.0608,0.2703,0.1241,0.434,-0.001099,-0.000756,0.000172,4.8e-05,0.000438,5e-06,0.000104
10065,True,,69.507,74.56,74.638,-0.078,5.131,11.254,12.093,12.106,68.183,71.2,71.176,11.034,11.535,11.531,78.565,78.667,96.27,96.286,0.6846835029247185,0.32942955084653175,0.6488092868089759,0.27713270560051706,0,10,22,-0.41994586749888185,1,0.41994586749888185,1,0.0005546454689766677,0.00022108856724055437,0.1458,0.2652,0.4743,0.8854,0.8546,1.7858,3.3971,0.000478,0.000381,8.3e-05,4.7e-05,-1.5e-05,-1.5e-05,-4.5e-05
10066,True,,60.906,74.646,74.542,0.104,13.636,9.825,12.107,12.09,60.72,71.015,71.12,9.794,11.504,11.522,66.508,66.565,94.887,94.766,0.801039404385,0.33154307876013517,0.6630577317405688,0.2681811712887396,0,641,803,-0.836401062735149,1,0.836401062735149,1,0.003081166134680256,0.0009766321494001746,0.14,0.3297,0.5968,1.0162,0.9816,2.0862,4.0976,0.000196,0.000598,-0.00033,-5.9e-05,-3e-05,9.1e-05,-2.2e-05
10067,True,,69.453,74.668,74.463,0.205,5.01,11.245,12.111,12.077,68.048,71.287,71.131,11.011,11.549,11.523,80.242,80.279,96.029,94.554,0.7662290005119523,0.33081153827468673,0.7298602919262894,0.2852570929440568,0,257,321,-0.8353064212510617,1,0.8353064212510617,1,0.0018403512812696665,0.0008851911539885401,0.2584,0.5227,1.0105,1.7324,1.7763,3.4487,6.8897,0.000861,0.000914,-5.3e-05,-1.7e-05,0.000125,1.6e-05,0.000153
10068,True,,64.435,74.786,74.722,0.064,10.287,10.411,12.131,12.12,64.009,71.398,71.209,10.34,11.568,11.536,71.025,70.965,96.777,96.798,0.7328989119996827,0.3317005975216172,0.8167802072437418,0.3403054722642948,0,258,327,-0.8350635565798257,1,0.8350635565798257,1,0.0009337600555226502,0.00031123847768129066,0.1998,0.5004,0.956,1.9424,2.0374,3.7005,7.393,-0.000779,0.000128,3.9e-05,-0.000287,-0.000165,3.5e-05,2.4e-05
10069,True,,66.206,74.63,74.501,0.129,8.295,10.705,12.105,12.083,65.563,71.267,71.249,10.598,11.546,11.543,72.905,72.837,96.665,94.765,0.7711005387717134,0.3303354323055664,0.7332702393306594,0.2944589126444533,0,880,1087,-0.8373912043252858,1,0.8373912043252858,1,0.002750712246457669,0.0016202709421401715,0.047,0.1654,0.2299,0.4619,0.4728,0.7296,1.5319,-7.3e-05,1.8e-05,-0.000318,-0.000176,-1.9e-05,1.3e-05,-0.000102
10070,True,,69.668,74.65,74.514,0.136,4.846,11.28,12.108,12.085,68.437,71.241,71.13,11.076,11.542,11.523,78.148,78.155,95.962,95.007,0.7203273486582034,0.33100417467251875,0.8195081922950573,0.33298557863538875,0,190,290,-0.8388952529262497,1,0.8388952529262497,1,0.0013584596967873082,0.0003349342125993512,0.1484,0.277,0.3024,0.62,0.8483,1.2658,2.4459,-0.001237,-0.001081,-0.000135,-0.000166,-5.4e-05,5.9e-05,-0.000149
10071,True,,67.276,74.59,74.49,0.1,7.214,10.883,12.098,12.081,66.464,71.328,71.234,10.748,11.556,11.54,74.874,74.656,95.369,94.326,0.7320469032660051,0.33188755320243996,0.8640080461755748,0.32847796488085435,0,298,403,-0.8401457464378836,1,0.8401457464378836,1,0.0027367535934142363,0.0009953091226973527,0.2564,0.3175,0.6946,1.4555,1.407,2.9193,5.8292,-0.001222,0.000301,4.3e-05,-7.2e-05,1.3e-05,-8.8e-05,-8.2e-05
10072,True,,66.7,74.626,74.269,0.357,7.569,10.787,12.104,12.045,66.037,71.253,71.11,10.677,11.544,11.52,75.176,75.128,95.757,94.982,0.7315977054476075,0.33068479776929466,0.9408968882978719,0.36778847462995196,0,67,116,-0.8376668829446317,1,0.8376668829446317,1,0.002282637582607678,0.0005409257557299719,0.0579,0.1565,0.1498,0.2131,0.2756,0.3813,0.7611,-0.000406,0.000889,-5.9e-05,0.000117,-9.9e-05,-3.2e-05,3.3e-05
10073,True,,72.036,74.712,74.706,0.006,2.67,11.674,12.118,12.117,69.815,71.216,71.186,11.305,11.538,11.533,81.814,81.659,96.232,96.191,0.7461565115117905,0.3313048685879791,0.597369694587969,0.25963450019677925,0,112,147,-0.8385842171910554,1,0.8385842171910554,1,0.0007790273808994992,0.0005447215953038527,0.1475,0.1124,0.267,0.4403,0.4345,0.9479,1.7448,-0.001291,9.2e-05,0.000291,0.000109,0.000119,4.5e-05,0.000117
