mode,noise_factor,noisescale,point_id,design_point_number,td,delta_td_ns,corner,enob,snr_db,sfdr_db,compower_w,srpower_w,prewocm_w,switchespower_w,logicpower_w,syncpower_w
full_noise,1,1,1,1,24.05n,0.05,Nominal,11.0128108324306,67.9521207769724,81.4321344697603,0.00027140236142782,3.1679418197495e-05,0.000163425216055369,8.61340460388683e-05,4.09860468491449e-05,2.53651636809079e-05
full_noise,1,1,2,1,24.05n,0.05,C0,11.08910371073,68.5084284807791,79.1048773863489,0.000270454915354854,3.19998265270303e-05,0.000160503688158969,8.27347666244099e-05,4.20531825471944e-05,2.57050021959508e-05
full_noise,1,1,3,1,24.05n,0.05,C1,10.9639943162415,67.5181512413287,78.4312636651313,0.000281199547693667,3.25876329547182e-05,0.000168815662463947,8.70483670054495e-05,4.0261177596061e-05,2.5028961139651e-05
full_noise,1,1,4,1,24.05n,0.05,fs,11.0586850075232,68.1876072629839,79.4449684062375,0.000243219240561628,2.9500288448792e-05,0.000141301691717537,8.37373121598414e-05,3.95582124790795e-05,2.4904011481108e-05
full_noise,1,1,5,1,24.05n,0.05,sf,10.8979276038751,67.9313306001436,79.0065072847841,0.000303357180291582,3.49796211929549e-05,0.000185590975754397,8.71177794271561e-05,4.28231064877858e-05,2.57928694127075e-05
full_noise,1,1,6,2,25n,1.00,Nominal,11.1027075152597,68.4373280513894,76.6871597860465,0.000270608288252779,3.0736470916173e-05,0.000163525457235615,8.93952342668424e-05,4.09791974971832e-05,2.53400103318531e-05
full_noise,1,1,7,2,25n,1.00,C0,11.2041206730028,69.5450777107945,78.6952841654753,0.000270075157626551,3.13262315615519e-05,0.000160535967267646,8.53624647722684e-05,4.20639560833681e-05,2.56913552164182e-05
full_noise,1,1,8,2,25n,1.00,C1,10.9212596084814,67.7988097824719,79.6670244826344,0.000280159995151676,3.11973272805932e-05,0.000169222046071526,8.96414375303783e-05,4.02306049142849e-05,2.49966736052889e-05
full_noise,1,1,9,2,25n,1.00,fs,11.1624219737758,69.1209128336064,81.0827872438718,0.000242515218773407,2.89257930017308e-05,0.000141282469591795,8.59185946395263e-05,3.95269765479747e-05,2.48907633143299e-05
full_noise,1,1,10,2,25n,1.00,sf,10.8706051957097,67.2461041511472,77.1033309395245,0.000302083936144698,3.32338975924692e-05,0.000185962139043237,9.22445493633498e-05,4.28046574250719e-05,2.57553659099392e-05
