
time (s)       v("P" ?resultsDir "/home/meow/jxy/codex_sandbox/sar0716_calibration_20260717/switch_cdac_map/psf" ?result "tran") (V)
 2.01014e-07    8.99992e-01   
 2.01018e-07    9.00002e-01   
 2.01026e-07    8.99999e-01   
 2.01039e-07    9.00000e-01   
 2.01065e-07    9.00000e-01   
 2.01116e-07    9.00000e-01   
 2.01219e-07    9.00000e-01   
 2.01426e-07    9.00000e-01   
 2.01839e-07    9.00000e-01   
 2.02665e-07    9.00000e-01   
 2.03665e-07    9.00000e-01   
 2.04665e-07    9.00000e-01   
 2.05665e-07    9.00000e-01   
 2.06665e-07    9.00000e-01   
 2.07665e-07    9.00000e-01   
 2.08665e-07    9.00000e-01   
 2.09665e-07    9.00000e-01   
 2.10665e-07    9.00000e-01   
 2.11665e-07    9.00000e-01   
 2.12665e-07    9.00000e-01   
 2.13665e-07    9.00000e-01   
 2.14665e-07    9.00000e-01   
 2.15665e-07    9.00000e-01   
 2.16665e-07    9.00000e-01   
 2.17665e-07    9.00000e-01   
 2.18665e-07    9.00000e-01   
 2.19665e-07    9.00000e-01   
 2.20665e-07    9.00000e-01   
 2.21665e-07    9.00000e-01   
 2.22665e-07    9.00000e-01   
 2.23665e-07    9.00000e-01   
 2.24665e-07    9.00000e-01   
 2.25665e-07    9.00000e-01   
 2.26665e-07    9.00000e-01   
 2.27665e-07    9.00000e-01   
 2.28665e-07    9.00000e-01   
 2.29665e-07    9.00000e-01   
 2.30665e-07    9.00000e-01   
 2.31665e-07    9.00000e-01   
 2.32665e-07    9.00000e-01   
 2.33665e-07    9.00000e-01   
 2.34665e-07    9.00000e-01   
 2.35665e-07    9.00000e-01   
 2.36665e-07    9.00000e-01   
 2.37665e-07    9.00000e-01   
 2.38665e-07    9.00000e-01   
 2.39665e-07    9.00000e-01   
 2.40665e-07    9.00000e-01   
 2.41665e-07    9.00000e-01   
 2.42665e-07    9.00000e-01   
 2.43665e-07    9.00000e-01   
 2.44665e-07    9.00000e-01   
 2.45665e-07    9.00000e-01   
 2.46665e-07    9.00000e-01   
 2.47665e-07    9.00000e-01   
 2.48665e-07    9.00000e-01   
 2.49332e-07    9.00000e-01   
 2.50000e-07    9.00000e-01   
 2.50010e-07    9.00000e-01   
 2.50030e-07    9.00000e-01   
 2.50070e-07    9.00000e-01   
 2.50150e-07    9.00000e-01   
 2.50310e-07    9.00000e-01   
 2.50630e-07    9.00000e-01   
 2.51270e-07    9.00000e-01   
 2.52270e-07    9.00000e-01   
 2.53270e-07    9.00000e-01   
 2.54270e-07    9.00000e-01   
 2.55270e-07    9.00000e-01   
 2.56270e-07    9.00000e-01   
 2.57270e-07    9.00000e-01   
 2.58270e-07    9.00000e-01   
 2.59270e-07    9.00000e-01   
 2.60010e-07    9.00000e-01   
 2.60015e-07    9.00000e-01   
 2.60020e-07    9.00000e-01   
 2.60030e-07    9.00000e-01   
 2.60050e-07    9.00000e-01   
 2.60090e-07    9.00000e-01   
 2.60170e-07    9.00000e-01   
 2.60330e-07    9.00000e-01   
 2.60650e-07    9.00000e-01   
 2.61289e-07    9.00000e-01   
 2.62289e-07    9.00000e-01   
 2.63289e-07    9.00000e-01   
 2.64289e-07    9.00000e-01   
 2.65289e-07    9.00000e-01   
 2.66289e-07    9.00000e-01   
 2.67289e-07    9.00000e-01   
 2.68289e-07    9.00000e-01   
 2.69289e-07    9.00000e-01   
 2.70289e-07    9.00000e-01   
 2.71289e-07    9.00000e-01   
 2.72289e-07    9.00000e-01   
 2.73289e-07    9.00000e-01   
 2.74289e-07    9.00000e-01   
 2.75289e-07    9.00000e-01   
 2.76289e-07    9.00000e-01   
 2.77289e-07    9.00000e-01   
 2.78289e-07    9.00000e-01   
 2.79289e-07    9.00000e-01   
 2.80289e-07    9.00000e-01   
 2.81010e-07    9.00000e-01   
 2.81013e-07    9.00000e-01   
 2.81015e-07    8.98617e-01   
 2.81015e-07    8.19398e-01   
 2.81016e-07    8.43296e-01   
 2.81016e-07    8.56116e-01   
 2.81016e-07    8.61874e-01   
 2.81016e-07    8.67396e-01   
 2.81016e-07    8.71515e-01   
 2.81016e-07    8.76000e-01   
 2.81016e-07    8.79728e-01   
 2.81016e-07    8.83646e-01   
 2.81017e-07    8.87433e-01   
 2.81017e-07    8.90707e-01   
 2.81017e-07    8.93946e-01   
 2.81018e-07    8.96599e-01   
 2.81019e-07    8.98582e-01   
 2.81020e-07    8.99566e-01   
 2.81022e-07    8.99817e-01   
 2.81024e-07    9.00008e-01   
 2.81028e-07    8.99998e-01   
 2.81036e-07    9.00001e-01   
 2.81049e-07    9.00000e-01   
 2.81075e-07    9.00000e-01   
 2.81126e-07    9.00000e-01   
 2.81229e-07    9.00000e-01   
 2.81436e-07    9.00000e-01   
 2.81849e-07    9.00000e-01   
 2.82675e-07    9.00000e-01   
 2.83675e-07    9.00000e-01   
 2.84675e-07    9.00000e-01   
 2.85675e-07    9.00000e-01   
 2.86675e-07    9.00000e-01   
 2.87675e-07    9.00000e-01   
 2.88675e-07    9.00000e-01   
 2.89675e-07    9.00000e-01   
 2.90675e-07    9.00000e-01   
 2.91675e-07    9.00000e-01   
 2.92675e-07    9.00000e-01   
 2.93675e-07    9.00000e-01   
 2.94675e-07    9.00000e-01   
 2.95675e-07    9.00000e-01   
 2.96675e-07    9.00000e-01   
 2.97675e-07    9.00000e-01   
 2.98675e-07    9.00000e-01   
 2.99675e-07    9.00000e-01   
 3.00337e-07    9.00000e-01   
 3.01000e-07    9.00000e-01   
 3.01003e-07    9.00000e-01   
 3.01005e-07    9.00149e-01   
 3.01005e-07    9.54358e-01   
 3.01005e-07    9.28909e-01   
 3.01005e-07    9.21070e-01   
 3.01006e-07    9.19285e-01   
 3.01006e-07    9.16854e-01   
 3.01006e-07    9.15166e-01   
 3.01006e-07    9.13199e-01   
 3.01006e-07    9.11372e-01   
 3.01006e-07    9.09068e-01   
 3.01006e-07    9.06745e-01   
 3.01007e-07    9.04391e-01   
 3.01007e-07    9.02484e-01   
 3.01008e-07    9.01007e-01   
 3.01009e-07    9.00503e-01   
 3.01010e-07    9.00198e-01   
 3.01012e-07    9.00090e-01   
 3.01013e-07    9.00044e-01   
 3.01014e-07    9.00008e-01   
 3.01017e-07    8.99999e-01   
